file,group,period,genre,omens,excluded
KUB37-184.txt,corpus,Middle Period,izbu omens,5,False
KUB37-185.txt,corpus,Middle Period,izbu omens,1,False
KUB37-188.txt,corpus,Middle Period,izbu omens,1,False
KUB4-67.txt,corpus,Middle Period,izbu omens,1,False
Suse.XII-4.txt,corpus,Middle Period,izbu omens,71,False
Suse.XII-6.txt,corpus,Middle Period,izbu omens,28,False
UM.29-16-194.txt,corpus,Middle Period,izbu omens,21,False
VAT.17080.txt,corpus,Middle Period,izbu omens,20,False
VAT.17259.txt,corpus,Middle Period,izbu omens,15,False
VAT.9908.txt,corpus,Middle Period,izbu omens,18,False
BM.108874.txt,corpus,Middle Period,terrestrial omens,25,False
KBo.36.47.txt,corpus,Middle Period,terrestrial omens,13,False
VAT.10167.txt,corpus,Middle Period,terrestrial omens,105,False
VAT.10362.txt,corpus,Middle Period,terrestrial omens,10,False
VAT.10504.txt,corpus,Middle Period,terrestrial omens,45,False
VAT.10523.txt,corpus,Middle Period,terrestrial omens,66,False
VAT.10526.txt,corpus,Middle Period,terrestrial omens,17,False
VAT.10805.txt,corpus,Middle Period,terrestrial omens,8,False
VAT.10821.txt,corpus,Middle Period,terrestrial omens,1,False
VAT.10849.txt,corpus,Middle Period,terrestrial omens,4,False
VAT.11154.txt,corpus,Middle Period,terrestrial omens,8,False
VAT.11192.txt,corpus,Middle Period,terrestrial omens,6,False
VAT.12041.txt,corpus,Middle Period,terrestrial omens,1,False
VAT.13802.txt,corpus,Middle Period,terrestrial omens,17,False
VAT.13804.txt,corpus,Middle Period,terrestrial omens,17,False
VAT.9900.txt,corpus,Middle Period,terrestrial omens,36,False
VAT.9906.txt,corpus,Middle Period,terrestrial omens,39,False
EAE20.RecA.txt,corpus,Neo Period,astrological omens,26,False
EAE20.RecB.txt,corpus,Neo Period,astrological omens,15,False
EAE21.RecA.txt,corpus,Neo Period,astrological omens,105,False
EAE21.RecB.txt,corpus,Neo Period,astrological omens,8,False
EAE22.RecA.txt,corpus,Neo Period,astrological omens,61,False
EAE55.eBL.txt,corpus,Neo Period,astrological omens,110,False
EAE57.eBL.txt,corpus,Neo Period,astrological omens,121,False
IM.124485.txt,corpus,Neo Period,astrological omens,7,False
AO.6682.txt,corpus,Neo Period,diagnostic omens,83,False
BM.33424.txt,corpus,Neo Period,diagnostic omens,56,False
BM.34435.txt,corpus,Neo Period,diagnostic omens,4,False
BM.38489.txt,corpus,Neo Period,diagnostic omens,38,False
BM.38637.txt,corpus,Neo Period,diagnostic omens,23,False
BM.38655.txt,corpus,Neo Period,diagnostic omens,24,False
BM.42502.txt,corpus,Neo Period,diagnostic omens,9,False
BM.42970.txt,corpus,Neo Period,diagnostic omens,13,False
BM.60744.txt,corpus,Neo Period,diagnostic omens,34,False
K.2006.txt,corpus,Neo Period,diagnostic omens,183,False
K.2723.txt,corpus,Neo Period,diagnostic omens,122,False
LKU.65.txt,corpus,Neo Period,diagnostic omens,8,False
LKU.77.txt,corpus,Neo Period,diagnostic omens,27,False
MLC.2639.txt,corpus,Neo Period,diagnostic omens,97,False
ND.4405.txt,corpus,Neo Period,diagnostic omens,14,False
VAT.14522.txt,corpus,Neo Period,diagnostic omens,13,False
VAT.14540.txt,corpus,Neo Period,diagnostic omens,35,False
VAT.14541.txt,corpus,Neo Period,diagnostic omens,16,False
VAT.14542.txt,corpus,Neo Period,diagnostic omens,12,False
VAT.14543.txt,corpus,Neo Period,diagnostic omens,8,False
VAT.14545.txt,corpus,Neo Period,diagnostic omens,9,False
VAT.14547.txt,corpus,Neo Period,diagnostic omens,13,False
VAT.14548.txt,corpus,Neo Period,diagnostic omens,8,False
VAT.14550.txt,corpus,Neo Period,diagnostic omens,16,False
VAT.14553.txt,corpus,Neo Period,diagnostic omens,17,False
VAT.14556.txt,corpus,Neo Period,diagnostic omens,12,False
VAT.14567.txt,corpus,Neo Period,diagnostic omens,32,False
VAT.303.txt,corpus,Neo Period,diagnostic omens,151,False
W.17360ac.txt,corpus,Neo Period,diagnostic omens,9,False
W.17360c.txt,corpus,Neo Period,diagnostic omens,10,False
W.17360o.txt,corpus,Neo Period,diagnostic omens,9,False
W.22761.txt,corpus,Neo Period,diagnostic omens,68,False
AO.6453.txt,corpus,Neo Period,extispicy omens,82,False
IM.132510.txt,corpus,Neo Period,extispicy omens,79,False
IM.65065.txt,corpus,Neo Period,extispicy omens,23,False
K.3671.txt,corpus,Neo Period,extispicy omens,79,False
K.3786.txt,corpus,Neo Period,extispicy omens,17,False
K.4088.txt,corpus,Neo Period,extispicy omens,17,False
K.7997.txt,corpus,Neo Period,extispicy omens,3,False
K.8690.txt,corpus,Neo Period,extispicy omens,28,False
K.9460.txt,corpus,Neo Period,extispicy omens,3,False
Rm.620.txt,corpus,Neo Period,extispicy omens,3,False
Szumma-hasu-DeZorzi.txt,corpus,Neo Period,extispicy omens,8,False
VAT.10675.txt,corpus,Neo Period,extispicy omens,20,False
VAT.11001.txt,corpus,Neo Period,extispicy omens,27,False
VAT.11025.txt,corpus,Neo Period,extispicy omens,16,False
VAT.13803.txt,corpus,Neo Period,extispicy omens,102,False
VAT.8611.txt,corpus,Neo Period,extispicy omens,27,False
BM.33793.txt,corpus,Neo Period,izbu omens,29,False
BM.52728.txt,corpus,Neo Period,izbu omens,10,False
K.131.txt,corpus,Neo Period,izbu omens,89,False
K.2242.txt,corpus,Neo Period,izbu omens,35,False
K.3688.txt,corpus,Neo Period,izbu omens,130,False
K.3695.txt,corpus,Neo Period,izbu omens,28,False
K.4031.txt,corpus,Neo Period,izbu omens,32,False
K.8806.txt,corpus,Neo Period,izbu omens,17,False
Sm.502.txt,corpus,Neo Period,izbu omens,27,False
W.23271.txt,corpus,Neo Period,izbu omens,171,False
W.23272.txt,corpus,Neo Period,izbu omens,128,False
K.6278.txt,corpus,Neo Period,terrestrial omens,25,False
SummaAlu.01.txt,corpus,Neo Period,terrestrial omens,213,False
SummaAlu.103.txt,corpus,Neo Period,terrestrial omens,32,False
SummaAlu.22.txt,corpus,Neo Period,terrestrial omens,92,False
SummaAlu.23.txt,corpus,Neo Period,terrestrial omens,116,False
SummaAlu.24.txt,corpus,Neo Period,terrestrial omens,60,False
SummaAlu.32-Assur.txt,corpus,Neo Period,terrestrial omens,119,False
SummaAlu.32-Nineveh.txt,corpus,Neo Period,terrestrial omens,82,False
SummaAlu.32-Sultantepe.txt,corpus,Neo Period,terrestrial omens,79,False
SummaAlu.33.txt,corpus,Neo Period,terrestrial omens,119,False
SummaAlu.84.txt,corpus,Neo Period,terrestrial omens,101,False
neo-babylonian-text.txt,corpus,Neo Period,terrestrial omens,2,False
BM.109154.txt,corpus,Old Period,astrological omens,27,False
BM.16775.txt,corpus,Old Period,astrological omens,9,False
BM.22696.txt,corpus,Old Period,astrological omens,74,False
BM.86381.txt,corpus,Old Period,astrological omens,66,False
MS.3117.txt,corpus,Old Period,astrological omens,65,False
MS.3118.txt,corpus,Old Period,astrological omens,45,False
